9,5,4,0
15,6,4,1
24,15,1,0
24,1,0,0
26,19,0,0
11,21,3,1
29,7,4,0
16,28,4,0
15,14,2,1
34,7,0,0
13,1,1,0
31,28,4,0
19,12,0,1
15,1,5,1
13,10,4,1
11,2,2,1
7,3,2,0
0,27,0,0
27,23,2,1
14,1,4,1
28,29,2,1
23,24,4,1
27,18,1,0
19,13,1,0
9,25,4,0
14,20,3,1
30,2,5,0
27,3,1,0
37,22,2,0
18,0,4,1
9,1,0,1
0,5,5,0
16,6,4,0
0,7,1,0
8,11,1,1
20,27,2,1
7,19,4,1
30,5,2,1
17,2,2,1
12,5,3,1
18,16,3,1
3,21,3,1
19,1,3,1
1,0,5,0
36,27,3,0
6,3,2,1
34,5,5,0
3,1,2,1
38,24,0,0
1,17,4,0
5,20,3,1
6,9,3,1
14,20,5,0
35,0,5,0
29,21,3,0
19,3,4,0
23,8,1,0
6,3,4,0
3,0,2,0
23,2,5,0
29,22,0,1
10,24,0,1
3,22,0,1
12,16,2,0
5,12,0,0
19,16,4,0
34,1,3,1
40,23,2,0
4,3,0,1
5,2,5,1
23,3,1,1
23,18,2,0
7,9,1,1
23,2,5,1
6,16,2,1
7,14,5,0
18,2,4,1
17,20,0,0
4,16,2,0
25,25,3,0
2,21,2,0
7,4,5,1
20,12,4,1
4,25,1,1
5,2,3,1
11,4,4,0
4,3,5,1
33,25,4,1
6,11,1,0
0,18,2,0
34,2,5,0
34,0,3,1
2,26,3,0
2,19,1,1
32,26,3,0
9,29,2,0
33,9,2,0
3,13,5,0
37,27,5,0
34,11,5,0
22,9,3,0
14,6,5,0
20,27,4,1
17,25,5,0
18,20,2,0
22,17,3,1
30,5,1,1
38,29,2,1
18,24,0,1
16,7,0,1
35,10,3,1
40,21,4,0
32,18,1,0
34,6,1,0
9,0,3,1
24,0,0,1
33,3,3,1
20,3,5,1
30,17,1,1
38,23,2,0
34,26,5,0
4,17,4,1
13,5,3,1
22,2,2,0
39,1,1,1
14,10,1,1
25,24,0,0
15,18,1,1
25,8,2,0
4,24,2,1
40,13,2,1
8,23,2,1
38,22,3,0
19,29,0,0
35,10,0,0
40,16,3,1
22,21,4,1
