5,14,1,1
26,22,5,1
4,4,3,0
9,3,1,0
17,10,5,1
17,21,5,1
14,14,3,0
34,6,1,1
18,24,5,1
26,15,1,0
18,27,1,1
13,3,3,0
40,20,2,1
23,25,1,1
19,22,4,1
31,11,5,1
28,6,2,1
28,25,2,1
2,2,0,0
30,27,0,0
35,2,3,1
20,28,2,1
35,2,5,1
21,5,2,1
35,23,3,1
17,10,1,0
12,3,1,0
2,26,3,1
37,9,0,1
2,29,2,1
36,6,4,0
34,27,4,0
32,17,4,1
15,22,0,1
40,21,1,1
32,25,4,0
6,23,4,0
32,12,2,0
34,10,0,1
31,2,4,1
33,19,0,0
23,5,1,0
23,26,1,0
5,12,1,1
8,25,3,1
6,6,4,1
33,25,5,1
32,23,2,0
14,13,2,1
37,3,1,0
38,28,3,1
39,26,5,0
20,15,4,1
30,8,2,0
19,12,5,1
14,17,0,1
39,17,2,0
38,9,1,1
28,4,5,0
27,20,1,1
20,1,3,0
25,0,0,1
5,18,0,0
5,11,3,1
35,6,3,0
21,11,1,0
8,27,5,1
38,22,2,1
6,11,3,0
9,16,1,1
0,3,3,1
33,14,4,1
40,18,1,1
13,3,1,0
29,8,0,1
26,22,0,1
8,10,0,1
3,1,0,0
1,29,0,0
34,26,3,0
39,5,1,0
36,6,4,1
36,12,5,1
13,28,1,0
15,8,5,1
31,26,2,0
4,22,0,1
25,9,0,1
34,27,1,1
0,12,0,1
29,7,0,0
2,22,2,1
11,4,3,0
32,24,0,0
3,10,1,1
38,4,3,1
6,28,2,0
37,21,3,1
28,26,2,0
16,20,2,1
